GEOIDFQ,NAME,GEOTYPE,YEAR,FUEL_TYPE,FACILITIES,CAPACITY
0500000US39047,Fayette County,COUNTY,2009,Waste Gas,0,0
0500000US39047,Fayette County,COUNTY,2009,Wind,0,0
0500000US39047,Fayette County,COUNTY,2010,Biofuel,0,0
0500000US39047,Fayette County,COUNTY,2010,Energy Storage,0,0
0500000US39047,Fayette County,COUNTY,2010,Natural Gas/Propane,0,0
0500000US39047,Fayette County,COUNTY,2010,Solar,1,7000
0500000US39047,Fayette County,COUNTY,2010,Waste Gas,0,0
0500000US39047,Fayette County,COUNTY,2010,Wind,0,0
0500000US39047,Fayette County,COUNTY,2011,Biofuel,0,0
0500000US39047,Fayette County,COUNTY,2011,Energy Storage,0,0
0500000US39047,Fayette County,COUNTY,2011,Natural Gas/Propane,0,0
0500000US39047,Fayette County,COUNTY,2011,Solar,3,332000
0500000US39047,Fayette County,COUNTY,2011,Waste Gas,0,0
0500000US39047,Fayette County,COUNTY,2011,Wind,0,0
0500000US39047,Fayette County,COUNTY,2012,Biofuel,0,0
0500000US39047,Fayette County,COUNTY,2012,Energy Storage,0,0
0500000US39047,Fayette County,COUNTY,2012,Natural Gas/Propane,0,0
0500000US39047,Fayette County,COUNTY,2012,Solar,3,49690
0500000US39047,Fayette County,COUNTY,2012,Waste Gas,0,0
0500000US39047,Fayette County,COUNTY,2012,Wind,0,0
0500000US39047,Fayette County,COUNTY,2013,Biofuel,0,0
0500000US39047,Fayette County,COUNTY,2013,Energy Storage,0,0
0500000US39047,Fayette County,COUNTY,2013,Natural Gas/Propane,0,0
0500000US39047,Fayette County,COUNTY,2013,Solar,0,0
0500000US39047,Fayette County,COUNTY,2013,Waste Gas,0,0
0500000US39047,Fayette County,COUNTY,2013,Wind,0,0
0500000US39047,Fayette County,COUNTY,2014,Biofuel,0,0
0500000US39047,Fayette County,COUNTY,2014,Energy Storage,0,0
0500000US39047,Fayette County,COUNTY,2014,Natural Gas/Propane,0,0
0500000US39047,Fayette County,COUNTY,2014,Solar,2,15540
0500000US39047,Fayette County,COUNTY,2014,Waste Gas,0,0
0500000US39047,Fayette County,COUNTY,2014,Wind,0,0
0500000US39047,Fayette County,COUNTY,2015,Biofuel,0,0
0500000US39047,Fayette County,COUNTY,2015,Energy Storage,0,0
0500000US39047,Fayette County,COUNTY,2015,Natural Gas/Propane,0,0
0500000US39047,Fayette County,COUNTY,2015,Solar,4,11210
0500000US39047,Fayette County,COUNTY,2015,Waste Gas,0,0
0500000US39047,Fayette County,COUNTY,2015,Wind,0,0
0500000US39047,Fayette County,COUNTY,2016,Biofuel,0,0
